City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
161,Yaransk,RU,57.3033,47.8861,58.37,60,15,6.64,few clouds
162,Arraial Do Cabo,BR,-22.9661,-42.0278,70.09,82,0,17.38,clear sky
163,Katangli,RU,51.7102,143.2326,72.36,80,98,1.57,overcast clouds
164,Nome,US,64.5011,-165.4064,51.87,87,90,19.57,light rain
165,Siavonga,ZM,-16.5382,28.7088,55.22,58,1,3.4,clear sky
166,Ocean City,US,39.2776,-74.5746,75.97,85,1,4.0,clear sky
167,Bon Accord,CA,53.8335,-113.4187,69.55,81,2,5.64,clear sky
168,Faridkot,IN,30.6667,74.75,79.16,94,100,8.75,light rain
169,Castro,BR,-24.7911,-50.0119,44.19,91,99,7.29,overcast clouds
170,Parabel,RU,58.6978,81.4825,69.1,47,38,9.04,scattered clouds
171,Solnechnyy,RU,50.7214,136.6319,84.27,73,40,2.53,scattered clouds
172,Dingle,PH,10.9995,122.6711,87.75,65,82,17.05,broken clouds
173,Bow Island,CA,49.8668,-111.3684,79.0,31,79,9.19,broken clouds
174,Finnsnes,NO,69.2296,17.9811,54.21,76,2,3.44,clear sky
175,Conde,BR,-7.2597,-34.9075,72.86,94,20,4.61,few clouds
176,Bethel,US,41.3712,-73.414,72.91,87,1,1.99,clear sky
177,Kencong,ID,-8.2833,113.3667,83.37,57,10,8.05,clear sky
178,Tessalit,ML,20.1986,1.0114,85.75,46,75,11.72,broken clouds
179,Aswan,EG,24.0934,32.907,85.77,27,93,9.91,overcast clouds
180,Chumikan,RU,54.7183,135.315,78.3,50,50,5.59,scattered clouds
181,Lasa,IT,46.6166,10.7002,61.54,94,69,2.75,broken clouds
182,Omboue,GA,-1.5746,9.2618,72.01,86,37,4.25,scattered clouds
183,Verkhnyaya Balkariya,RU,43.1279,43.4573,50.92,97,79,3.62,broken clouds
184,Seoul,KR,37.5683,126.9778,93.61,37,13,1.61,few clouds
185,Pavlodar,KZ,52.3,76.95,69.6,43,0,6.71,clear sky
186,Kaitangata,NZ,-46.2817,169.8464,52.93,60,62,1.07,broken clouds
187,Port Hardy,CA,50.6996,-127.4199,60.98,72,40,5.75,scattered clouds
188,Chuy,UY,-33.6971,-53.4616,43.77,78,60,15.05,broken clouds
189,Alvinopolis,BR,-20.1067,-43.0489,57.18,53,46,3.65,scattered clouds
190,Cap Malheureux,MU,-19.9842,57.6142,68.47,90,94,8.99,moderate rain
191,Buloh Kasap,MY,2.5536,102.764,90.23,52,46,6.06,scattered clouds
192,Lewiston,US,44.1003,-70.2148,63.48,98,90,0.0,overcast clouds
193,Lorengau,PG,-2.0226,147.2712,84.99,71,8,6.06,clear sky
194,Koulikoro,ML,14.0,-7.75,77.32,82,97,5.1,overcast clouds
195,Mabay,PH,6.0577,124.4666,87.87,64,62,7.09,broken clouds
196,Sangar,RU,63.9242,127.4739,71.82,37,38,3.74,scattered clouds
197,Oistins,BB,13.0667,-59.5333,80.69,78,40,18.41,scattered clouds
198,Beringovskiy,RU,63.05,179.3167,47.79,88,100,23.47,light rain
199,Lithakia,GR,37.7167,20.8333,77.59,53,0,3.44,clear sky
200,Boa Vista,BR,2.8197,-60.6733,76.98,94,75,3.44,broken clouds
201,Yar-Sale,RU,66.8333,70.8333,50.25,67,100,11.63,overcast clouds
202,Ferrol,ES,43.4832,-8.2369,66.27,85,21,6.11,few clouds
203,Saint George,US,37.1041,-113.5841,89.64,37,1,5.99,clear sky
204,Saint-Francois,FR,46.4154,3.9054,63.18,97,75,2.3,broken clouds
205,Makinsk,KZ,52.6292,70.4169,64.02,47,100,11.16,overcast clouds
206,Mulege,MX,26.8833,-111.9833,88.81,49,1,0.38,clear sky
207,Airai,TL,-8.9266,125.4092,76.75,36,74,5.35,broken clouds
208,Atikokan,CA,48.7555,-91.6216,63.07,62,7,1.81,clear sky
209,Esperance,AU,-33.8667,121.9,59.86,49,4,18.95,clear sky
210,Povenets,RU,62.8487,34.8262,60.33,63,6,5.57,clear sky
211,Jasper,US,37.2001,-94.3502,80.65,83,1,0.0,clear sky
212,Fare,PF,-16.7,-151.0167,78.6,72,29,9.4,light rain
213,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,87,7,7.14,clear sky
214,Mtwara,TZ,-10.2667,40.1833,68.43,82,1,13.29,clear sky
215,Keti Bandar,PK,24.1447,67.4497,84.07,80,100,26.75,overcast clouds
216,Namibe,AO,-15.1961,12.1522,64.11,82,0,5.77,clear sky
217,Nishihara,JP,26.1842,127.7558,91.06,79,75,11.5,broken clouds
218,Ulladulla,AU,-35.35,150.4667,69.1,45,77,16.35,broken clouds
